Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3,88.48369909854884,0,0.0,28,2195.19539533551,0.16392354656679306,0.1346893221576473,0.0,0.2,Nov,2,3,2,12,Returning_Visitor,FALSE,FALSE
2,68.0496998368588,0,0.0,31,2405.9709749924814,0.22016578047147967,0.16568804729505407,0.0,0.0,Aug,1,4,2,11,New_Visitor,TRUE,FALSE
2,33.28267086850329,0,43.78449537610224,16,1059.2717426985073,0.5031382680021879,0.14032203420565112,0.0,0.0,Aug,3,1,3,11,Returning_Visitor,FALSE,FALSE
2,82.30006710125308,0,22.723543246962052,11,858.727051584082,0.10463502340829656,0.21957879725750448,0.0,0.4,Oct,1,2,2,5,Returning_Visitor,FALSE,FALSE
1,46.8092742013916,0,0.0,17,1361.5703719470698,0.24111256051847543,0.1182535563057316,0.0,0.0,Sep,3,1,1,14,New_Visitor,FALSE,FALSE
0,0.0,0,0.828950096543518,15,1094.4487233926864,0.0633492954945902,0.21172339170244114,0.0,0.0,Jul,1,1,8,4,Returning_Visitor,TRUE,FALSE
3,130.3509520528768,1,42.42831188725184,8,586.1231595103906,0.04628304255990568,0.05894423325737623,0.0,0.0,Mar,2,4,1,10,Returning_Visitor,TRUE,FALSE
4,121.61471969619828,0,41.194492153132245,21,1552.1585322313363,0.14408584670698066,0.2744711956574171,0.0,0.6,Oct,1,2,2,1,Returning_Visitor,FALSE,FALSE
3,120.76598254422998,0,0.0,21,1508.1923222938426,0.039984568603296314,0.636373024935564,0.0,0.8,Jul,1,1,1,7,Returning_Visitor,TRUE,FALSE
7,252.8330340162822,0,0.0,12,963.5354376833674,0.10902454719577959,0.19857439533793617,0.0,0.4,May,1,3,6,1,Returning_Visitor,FALSE,FALSE
2,61.30540413728855,3,148.0952455618721,22,1664.6953478357152,0.17743711045886099,0.358697711721117,35.16504891837487,1.0,June,4,1,4,1,Returning_Visitor,FALSE,TRUE
0,0.0,0,17.679160259054623,11,987.9413948242727,0.11350101546685502,0.1328422411600305,0.0,0.0,Dec,1,2,2,2,Returning_Visitor,FALSE,FALSE
